"year","price","transmission","mileage","tax","mpg","engineSize"
"2005","5200","Automatic","63000","325","32.1","1.8"
"2017","34948","Automatic","27000","20","61.4","2.1"
"2016","49948","Automatic","6200","555","28.0","5.5"
"2016","61948","Automatic","16000","325","30.4","4.0"
"2016","73948","Automatic","4000","325","30.1","4.0"
"2011","149948","Automatic","3000","570","21.4","6.2"
"2018","30948","Automatic","16000","145","47.9","2.1"
"2012","10948","Automatic","107000","265","36.7","3.5"
"2019","139948","Automatic","12000","145","21.4","4.0"
"2017","19750","Automatic","15258","30","64.2","2.1"
"2020","32980","Automatic","606","145","35.8","2.0"
"2020","26980","Automatic","1000","145","62.8","1.5"
"2019","23750","Automatic","278","145","55.4","2.0"
"2019","67980","Automatic","5500","145","21.7","4.0"
"2016","18980","Automatic","41713","125","56.6","2.1"
"2017","15890","Automatic","24841","150","68.9","1.5"
"2017","19890","Automatic","30281","150","60.1","2.1"
"2019","56800","Automatic","2483","145","29.5","3.0"
"2017","17513","Automatic","14128","150","68.9","2.1"
"2014","15701","Automatic","20498","20","64.2","2.1"
"2019","26601","Automatic","9949","150","64.2","2.0"
"2016","17672","Automatic","31656","30","64.2","2.1"
"2015","20769","Automatic","21874","165","51.4","3.0"
"2017","22270","Automatic","13398","165","52.3","3.0"
"2015","34129","Automatic","13581","330","36.2","3.0"
"2017","20601","Automatic","16730","150","70.6","2.1"
"2016","25077","Automatic","13887","165","49.6","3.0"
"2017","21609","Automatic","2780","30","70.6","2.1"
"2018","22914","Automatic","8725","145","47.9","2.0"
"2016","19328","Automatic","25042","30","64.2","2.1"
"2019","29546","Automatic","7990","145","54.3","2.0"
"2019","35611","Automatic","26153","145","45.6","3.0"
"2017","15311","Automatic","31371","20","65.7","2.1"
"2020","28128","Automatic","2563","145","47.9","1.3"
"2019","23184","Manual","1173","145","44.8","1.3"
"2017","15787","Automatic","24092","20","70.6","2.1"
"2018","30682","Automatic","14517","145","56.5","2.1"
"2019","25701","Automatic","11000","150","56.5","2.0"
"2020","31790","Automatic","3500","145","64.2","2.0"
"2019","25190","Automatic","2471","145","56.5","2.0"
"2014","15990","Automatic","43955","205","43.5","1.8"
"2018","34990","Automatic","18837","150","47.9","2.9"
"2019","30799","Automatic","9886","145","41.5","2.1"
"2017","19743","Automatic","16509","145","61.4","2.1"
"2019","24055","Automatic","7475","145","61.4","2.0"
"2019","20945","Automatic","13661","145","45.6","1.3"
"2019","28524","Automatic","8263","145","57.7","2.0"
"2019","24541","Automatic","10279","145","67.3","2.0"
"2017","20880","Automatic","37000","30","65.7","2.0"
"2006","2880","Automatic","66000","160","52.3","2.0"
"2010","5880","Automatic","40000","300","34.0","1.8"
"2015","14940","Automatic","43000","20","64.2","2.1"
"2004","4890","Automatic","46000","330","28.0","3.5"
"2010","16990","Automatic","18000","555","29.1","3.5"
"2010","3890","Automatic","71000","240","40.9","1.5"
"2011","3990","Automatic","90000","240","40.9","1.5"
"2011","3440","Manual","74000","150","54.3","2.0"
"2020","48995","Automatic","3000","145","36.7","2.0"
"2008","5980","Automatic","60000","280","34.4","1.8"
"2015","13990","Automatic","52000","125","60.1","2.1"
"2016","14480","Automatic","84000","200","42.8","2.0"
"2010","6980","Manual","79000","300","35.3","1.8"
"2014","11290","Automatic","48000","145","56.5","2.1"
"2011","5740","Manual","115000","160","52.3","2.1"
"2017","31980","Automatic","16000","145","44.8","2.1"
"2014","15990","Automatic","45000","30","62.8","2.1"
"2015","11240","Automatic","47000","125","56.5","2.1"
"2019","37980","Automatic","6200","145","34.0","3.0"
"2019","28980","Automatic","5500","145","60.1","2.0"
"2019","23280","Automatic","3908","145","44.1","1.5"
"2019","32980","Automatic","2000","145","64.2","2.0"
"2008","5990","Automatic","110000","555","28.8","3.0"
"2013","7300","Automatic","54000","30","65.7","1.8"
"2014","41980","Automatic","26000","555","28.0","5.5"
"2007","7340","Automatic","104000","570","28.8","3.0"
"2007","8490","Automatic","74000","570","28.8","3.0"
"2009","4480","Automatic","130000","300","37.7","3.0"
"2016","24880","Automatic","75000","190","42.4","3.5"
"2015","17480","Automatic","22000","140","53.3","3.0"
"2007","4880","Automatic","58000","315","37.2","3.0"
"2015","38980","Automatic","11000","270","33.2","4.7"
"2010","7495","Manual","59147","300","36.2","1.8"
"2007","3790","Automatic","99000","555","28.8","2.5"
"2007","3890","Automatic","87000","325","32.5","1.8"
"2015","17863","Semi-Auto","14360","20","62.8","2.1"
"2015","17624","Automatic","29505","125","55.4","2.1"
"2018","18220","Automatic","10361","145","68.9","1.5"
"2017","18775","Automatic","19522","30","70.6","2.1"
"2017","20745","Automatic","23103","30","70.6","2.1"
"2019","18118","Automatic","15561","145","68.9","1.5"
"2019","17990","Automatic","14783","145","65.7","1.5"
"2019","28491","Semi-Auto","9477","145","47.1","2.0"
"2018","18888","Automatic","11565","145","67.3","1.5"
"2019","19840","Automatic","6781","145","28.5","1.3"
"2019","18241","Automatic","15722","145","65.7","1.5"
"2019","18141","Automatic","15689","145","65.7","1.5"
"2016","37385","Automatic","21169","305","37.2","3.0"
"2017","26166","Automatic","9165","150","51.4","3.0"
"2019","24616","Automatic","3710","145","55.4","2.0"
"2019","30403","Automatic","3000","145","46.3","1.5"
"2019","30670","Automatic","3000","145","47.1","2.0"
"2020","30960","Automatic","3000","145","64.2","2.0"
"2020","24107","Automatic","3500","145","62.8","1.5"
"2019","24510","Automatic","11368","145","58.9","1.6"
"2016","35371","Automatic","14253","325","36.2","3.0"
"2019","33729","Automatic","11301","145","56.5","2.1"
"2019","29623","Automatic","7500","145","64.2","2.0"
"2019","27964","Automatic","5617","145","57.7","2.0"
"2019","21394","Automatic","9573","145","45.6","1.3"
"2019","20882","Automatic","14257","145","45.6","1.3"
"2019","37352","Automatic","3000","150","45.6","2.0"
"2018","18051","Automatic","11319","145","65.7","1.6"
"2019","24433","Automatic","2326","145","46.3","1.5"
"2019","37116","Automatic","6250","145","40.9","2.0"
"2019","22375","Automatic","13850","145","67.3","2.1"
"2019","24915","Automatic","13101","145","61.4","2.0"
"2019","29991","Automatic","10356","145","70.6","2.0"
"2019","22596","Automatic","5382","145","62.8","1.5"
"2019","22730","Automatic","1521","145","56.5","2.0"
"2019","26154","Automatic","14696","145","56.5","2.0"
"2020","35438","Automatic","3500","145","42.8","2.0"
"2019","27980","Automatic","3168","145","55.4","2.0"
"2019","28250","Automatic","3477","145","61.4","2.0"
"2019","23280","Automatic","6441","145","44.1","1.3"
"2017","15700","Automatic","19023","145","65.7","2.1"
"2017","18790","Automatic","8423","150","67.3","2.1"
"2020","54995","Automatic","6700","150","32.8","3.0"
"2018","20450","Automatic","6511","150","65.7","1.5"
"2014","11980","Automatic","66690","20","64.2","2.1"
"2017","19890","Automatic","26878","150","48.7","2.0"
"2018","20350","Automatic","24556","145","56.5","2.1"
"2017","22890","Automatic","34934","150","61.4","2.0"
"2017","18890","Automatic","7875","150","53.3","1.6"
"2017","15480","Automatic","23290","20","68.9","2.1"
"2016","16480","Automatic","48889","125","58.9","2.1"
"2017","20480","Automatic","31949","150","58.9","2.1"
"2016","25780","Automatic","34358","125","56.5","2.1"
"2017","21000","Automatic","25000","140","134.5","2.0"
"2016","17800","Automatic","34092","125","56.6","2.1"
"2019","20700","Automatic","14931","145","45.6","1.3"
"2016","17890","Automatic","44184","125","50.4","2.0"
"2009","4200","Automatic","96000","235","42.2","2.1"
"2017","20998","Semi-Auto","21352","20","72.4","2.0"
"2015","18998","Semi-Auto","33114","125","56.5","2.1"
"2017","24998","Semi-Auto","28234","160","43.5","2.0"
"2015","17498","Manual","15557","125","50.4","1.6"
"2016","19498","Semi-Auto","22803","30","61.4","2.1"
"2018","23498","Semi-Auto","17093","145","67.3","2.1"
"2014","15998","Semi-Auto","43125","200","45.6","3.0"
"2016","28498","Semi-Auto","30135","200","47.9","3.0"
"2015","16498","Manual","25920","125","51.4","1.6"
"2020","37998","Semi-Auto","5538","150","40.9","2.0"
"2014","16995","Automatic","37600","30","64.2","2.1"
"2016","27995","Automatic","13000","200","40.9","2.0"
"2015","29995","Automatic","17700","200","48.7","3.0"
"2017","26995","Semi-Auto","37950","145","56.5","2.1"
"2017","24995","Automatic","14000","145","47.1","2.0"
"2016","29995","Automatic","27700","200","47.9","2.1"
"2019","18995","Semi-Auto","21400","145","53.3","1.3"
"2015","11995","Semi-Auto","41500","20","67.3","1.5"
"2015","52995","Semi-Auto","34400","570","25.2","3.0"
"2017","23995","Semi-Auto","19300","30","65.7","2.0"
"2015","17698","Semi-Auto","27622","145","54.3","3.0"
"2014","15998","Semi-Auto","31815","145","54.3","2.1"
"2016","20298","Semi-Auto","25273","145","54.3","3.0"
"2014","12998","Semi-Auto","52712","20","64.2","2.1"
"2013","11998","Semi-Auto","54060","30","64.2","2.1"
"2017","17998","Semi-Auto","59858","145","64.2","2.1"
"2016","16998","Semi-Auto","50543","125","56.5","2.1"
"2019","48998","Semi-Auto","375","145","52.3","3.0"
"2019","28998","Manual","22","145","48.7","1.6"
"2019","46998","Semi-Auto","3325","145","32.5","3.0"
"2017","17498","Semi-Auto","16244","145","74.3","1.5"
"2016","26498","Semi-Auto","36121","200","47.9","3.0"
"2013","8998","Semi-Auto","46108","30","64.2","1.8"
"2016","19498","Semi-Auto","27846","125","56.5","2.1"
"2017","20498","Semi-Auto","20195","20","72.4","2.0"
"2018","22998","Semi-Auto","18739","150","60.1","2.1"
"2016","12998","Manual","53453","20","70.6","2.1"
"2016","22998","Semi-Auto","23090","30","65.7","2.1"
"2015","27998","Semi-Auto","14158","200","47.9","3.0"
"2015","26498","Semi-Auto","27343","200","48.7","3.0"
"2017","27998","Semi-Auto","58590","235","44.8","2.2"
"2019","36998","Semi-Auto","5211","145","70.6","2.0"
"2017","26998","Semi-Auto","9172","145","56.5","2.1"
"2015","19498","Semi-Auto","26999","160","51.4","3.0"
"2019","25498","Semi-Auto","8150","145","60.1","1.6"
"2019","28998","Semi-Auto","26100","145","65.7","2.0"
"2019","24998","Semi-Auto","9344","145","55.4","2.0"
"2020","27998","Semi-Auto","3930","150","35.8","1.6"
"2019","35998","Semi-Auto","7540","145","40.9","2.0"
"2019","32998","Semi-Auto","12831","145","44.8","2.0"
"2016","24998","Semi-Auto","42913","200","47.9","2.1"
"2017","21498","Semi-Auto","20981","30","64.2","2.1"
"2017","20998","Semi-Auto","22930","145","72.4","2.0"
"2016","25498","Semi-Auto","44072","200","47.9","3.0"
"2015","13498","Semi-Auto","20789","20","67.3","1.5"
"2016","16998","Semi-Auto","29160","20","67.3","2.1"
"2019","32998","Semi-Auto","2403","145","47.1","2.0"
"2019","21498","Manual","4653","145","45.6","1.3"
"2014","13998","Semi-Auto","33404","125","58.9","2.1"
"2017","18998","Semi-Auto","23760","30","64.2","2.1"
"2016","17998","Manual","26100","20","68.9","2.1"
"2019","28498","Semi-Auto","4285","145","61.4","2.0"
"2016","18998","Semi-Auto","28388","30","64.2","1.6"
"2019","19498","Semi-Auto","14899","145","68.9","1.5"
"2017","20998","Semi-Auto","16902","145","60.1","2.1"
"2019","20998","Semi-Auto","10713","145","45.6","1.3"
"2015","21498","Semi-Auto","43339","200","39.2","2.1"
"2017","19998","Semi-Auto","46230","145","67.3","2.0"
"2017","19498","Semi-Auto","29114","30","70.6","2.1"
"2016","20498","Semi-Auto","37915","160","51.4","3.0"
"2017","22498","Semi-Auto","11534","145","70.6","2.1"
"2017","20998","Semi-Auto","18739","145","70.6","2.1"
"2017","20998","Semi-Auto","27671","145","72.4","2.0"
"2015","18998","Semi-Auto","23247","200","42.8","2.0"
"2018","27498","Semi-Auto","9255","145","57.7","2.0"
"2016","16998","Semi-Auto","26973","30","65.7","1.6"
"2017","22998","Semi-Auto","16910","145","65.7","2.0"
"2015","24498","Semi-Auto","28191","200","47.9","3.0"
"2018","27498","Semi-Auto","12491","145","65.7","2.1"
"2015","16998","Semi-Auto","39587","200","42.8","2.0"
"2015","17998","Semi-Auto","42942","200","42.8","2.0"
"2016","23498","Semi-Auto","46259","125","56.5","2.1"
"2017","18298","Semi-Auto","7919","145","68.9","2.1"
"2019","22998","Semi-Auto","3770","150","53.3","1.3"
"2014","26998","Semi-Auto","24175","570","23.5","6.2"
"2018","19998","Manual","14941","145","46.3","2.1"
"2018","19498","Manual","21525","145","46.3","2.1"
"2014","15998","Semi-Auto","26216","30","64.2","2.1"
"2013","9298","Semi-Auto","80485","145","54.3","2.1"
"2014","17298","Semi-Auto","33274","30","62.8","2.1"
"2018","20489","Semi-Auto","16900","145","61.4","2.1"
"2013","15990","Automatic","51800","200","44.8","2.1"
"2013","9995","Semi-Auto","47000","20","68.9","1.8"
"2014","24498","Automatic","67833","325","35.3","3.0"
"2016","26490","Semi-Auto","32494","200","45.6","2.2"
"2018","22990","Semi-Auto","5491","145","45.6","2.0"
"2018","19995","Semi-Auto","2348","145","53.3","1.3"
"2017","17850","Manual","18692","145","48.7","1.6"
"2016","15000","Manual","30761","30","62.8","2.1"
"2017","13800","Manual","34015","145","70.6","2.1"
"2018","20498","Manual","22011","145","46.3","2.1"
"2014","15498","Semi-Auto","36243","30","64.2","2.1"
"2019","18995","Semi-Auto","3150","145","65.7","1.5"
"2017","20995","Semi-Auto","33000","145","58.9","2.1"
"2018","31995","Semi-Auto","11300","150","36.2","3.0"
"2017","16995","Semi-Auto","25800","150","68.9","2.1"
"2015","17995","Automatic","41100","20","67.3","2.1"
"2016","28995","Semi-Auto","31600","145","56.5","2.1"
"2018","35995","Automatic","7000","145","45.6","2.2"
"2017","23995","Semi-Auto","32800","30","65.7","2.1"
"2015","16998","Semi-Auto","42129","125","56.5","2.1"
"2016","21998","Semi-Auto","49986","125","56.5","2.1"
"2017","30498","Semi-Auto","20085","145","38.2","2.0"
"2019","27698","Semi-Auto","14999","145","55.4","2.0"
"2016","27498","Semi-Auto","37941","260","35.8","3.0"
"2019","32498","Semi-Auto","11301","145","61.4","2.0"
"2019","54498","Semi-Auto","6279","145","32.8","3.0"
"2016","34998","Semi-Auto","32726","325","36.2","3.0"
"2016","28998","Semi-Auto","16742","145","56.5","2.1"
"2019","24498","Semi-Auto","12629","145","61.4","2.1"
"2017","20998","Semi-Auto","13526","145","47.9","2.0"
"2015","19698","Semi-Auto","23578","150","54.3","3.0"
"2018","23498","Semi-Auto","5189","150","53.3","1.3"
"2019","21498","Semi-Auto","6324","145","65.7","1.5"
"2019","21498","Semi-Auto","5685","145","65.7","1.5"
"2019","64998","Semi-Auto","313","145","31.4","4.7"
"2015","19498","Semi-Auto","17167","145","54.3","3.0"
"2015","12298","Semi-Auto","68718","125","53.3","2.0"
"2017","21998","Semi-Auto","4657","145","70.6","2.1"
"2016","24998","Semi-Auto","30121","205","47.9","2.1"
"2017","29998","Semi-Auto","23326","150","56.5","2.1"
"2016","15635","Semi-Auto","30132","30","64.2","2.1"
"2018","20685","Semi-Auto","21929","145","64.2","2.1"
"2017","19498","Semi-Auto","33037","150","72.4","2.0"
"2018","46998","Semi-Auto","9182","145","37.2","3.0"
"2016","20498","Semi-Auto","27968","125","60.1","2.1"
"2017","30298","Semi-Auto","14786","200","47.9","2.1"
"2015","20298","Semi-Auto","28056","160","51.4","3.0"
"2017","37998","Semi-Auto","20418","145","34.0","3.0"
"2017","28998","Semi-Auto","31322","145","42.8","3.0"
"2014","15298","Semi-Auto","41416","30","64.2","2.1"
"2016","22998","Semi-Auto","30162","125","56.5","2.1"
"2018","31998","Semi-Auto","11605","145","56.5","2.1"
"2019","36998","Semi-Auto","629","145","32.9","2.0"
"2016","15998","Semi-Auto","52029","125","56.5","2.1"
"2015","18498","Semi-Auto","22888","125","55.4","2.1"
"2016","24998","Semi-Auto","30639","125","56.5","2.1"
"2018","33998","Semi-Auto","7220","145","56.5","2.1"
"2019","33998","Semi-Auto","3814","145","44.1","1.5"
"2019","32998","Semi-Auto","17","145","46.3","1.5"
"2016","21998","Semi-Auto","29306","160","51.4","3.0"
"2016","28698","Semi-Auto","22707","200","47.9","2.1"
"2018","19998","Semi-Auto","15383","145","46.3","1.5"
"2019","44498","Semi-Auto","5428","145","47.9","2.9"
"2015","13998","Manual","24010","20","72.4","1.6"
"2017","30498","Semi-Auto","19605","260","42.8","3.0"
"2019","24498","Semi-Auto","15838","145","61.4","2.0"
"2016","18498","Semi-Auto","33502","30","70.6","2.1"
"2018","18998","Semi-Auto","12386","145","68.9","1.5"
"2016","16498","Semi-Auto","37080","20","64.2","2.1"
"2016","23998","Semi-Auto","42809","125","56.5","2.1"
"2015","19498","Semi-Auto","20820","20","67.3","2.1"
"2016","15498","Semi-Auto","73582","30","61.4","2.1"
"2017","19498","Semi-Auto","47007","30","65.7","2.0"
"2019","39998","Semi-Auto","926","145","45.6","2.0"
"2019","38998","Semi-Auto","378","145","57.7","2.0"
"2019","32998","Semi-Auto","17","145","47.1","2.0"
"2019","34998","Semi-Auto","423","145","56.5","2.1"
"2019","20998","Semi-Auto","9651","145","56.5","2.0"
"2015","27498","Semi-Auto","35236","200","47.9","3.0"
"2017","20298","Semi-Auto","20055","30","70.6","2.1"
"2018","21998","Semi-Auto","15450","150","53.3","1.3"
"2019","21998","Semi-Auto","19324","150","53.3","1.3"
"2016","21998","Semi-Auto","17171","165","45.6","2.0"
"2016","19498","Semi-Auto","33249","145","54.3","3.0"
"2016","18998","Semi-Auto","23951","125","58.9","2.1"
"2017","21998","Semi-Auto","16062","145","52.3","3.0"
"2017","15245","Manual","22969","145","68.9","1.5"
"2014","10995","Manual","98000","20","68.9","2.1"
"2013","9995","Manual","83000","20","70.6","1.5"
"2017","23995","Semi-Auto","16820","145","51.4","3.0"
"2016","28650","Semi-Auto","9262","260","36.7","3.0"
"2015","21998","Semi-Auto","37963","205","39.2","2.1"
"2014","15698","Semi-Auto","39920","30","64.2","2.1"
"2018","20498","Manual","25254","145","46.3","2.1"
"2019","39998","Semi-Auto","2675","135","134.5","2.0"
"2015","18498","Semi-Auto","18106","125","56.6","2.1"
"2016","18498","Semi-Auto","31891","0","134.5","2.0"
"2015","24498","Semi-Auto","23487","125","56.5","2.1"
"2018","20498","Manual","20841","145","46.3","2.1"
"2018","20498","Manual","22033","145","46.3","2.1"
"2019","31998","Semi-Auto","2000","145","42.2","2.0"
"2019","29998","Semi-Auto","28000","145","44.1","2.0"
"2019","24998","Semi-Auto","22400","145","44.1","1.5"
"2015","26498","Semi-Auto","34434","200","48.7","3.0"
"2019","32998","Semi-Auto","2878","145","42.2","2.0"
"2019","32998","Semi-Auto","4500","145","42.2","2.0"
"2019","29998","Semi-Auto","836","145","43.5","2.0"
"2016","30998","Semi-Auto","14149","235","42.8","3.0"
"2016","19998","Semi-Auto","27801","145","47.9","2.0"
"2017","23998","Semi-Auto","14462","20","67.3","2.1"
"2019","48998","Semi-Auto","2669","145","47.1","3.0"
"2019","32498","Semi-Auto","1887","145","46.3","1.5"
"2017","19998","Semi-Auto","52570","30","65.7","2.0"
"2016","27998","Semi-Auto","24732","200","47.9","2.1"
"2016","18998","Semi-Auto","29302","30","70.6","2.1"
"2017","28498","Semi-Auto","30825","145","47.9","2.1"
"2015","17998","Semi-Auto","42577","145","54.3","3.0"
"2015","18498","Semi-Auto","40348","145","54.3","3.0"
"2014","15498","Semi-Auto","23772","20","64.2","2.1"
"2017","18998","Semi-Auto","28808","145","61.4","2.1"
"2016","19998","Semi-Auto","29511","30","65.7","2.0"
"2014","15698","Semi-Auto","43696","145","55.4","2.1"
"2016","25998","Semi-Auto","40220","145","56.5","2.1"
"2016","15200","Semi-Auto","39057","20","74.3","1.5"
"2013","15200","Semi-Auto","61363","200","44.8","2.1"
"2016","15200","Semi-Auto","23286","20","68.9","2.1"
"2014","15998","Semi-Auto","71657","200","44.8","2.1"
"2019","22498","Semi-Auto","10455","145","46.3","1.5"
"2016","17998","Semi-Auto","39017","125","56.5","2.1"
"2013","11998","Manual","33562","125","50.4","1.6"
"2019","21498","Semi-Auto","4138","145","65.7","1.5"
"2016","19298","Semi-Auto","27644","30","64.2","2.1"
"2016","28998","Semi-Auto","34669","200","47.9","2.1"
"2017","12498","Manual","29559","20","68.9","1.5"
"2018","32998","Semi-Auto","18932","145","45.6","2.2"
"2018","29498","Semi-Auto","6265","145","54.3","2.0"
"2016","16998","Semi-Auto","21786","20","65.7","2.1"
"2015","28998","Semi-Auto","16382","200","47.9","3.0"
"2016","20298","Semi-Auto","23411","160","52.3","3.0"
"2013","10698","Semi-Auto","66282","145","56.5","2.0"
"2015","24998","Semi-Auto","29036","160","50.4","3.0"
"2016","15498","Semi-Auto","63454","20","74.3","1.5"
"2015","25498","Semi-Auto","29078","200","47.9","2.1"
"2016","18698","Semi-Auto","31131","145","54.3","3.0"
"2017","30998","Semi-Auto","32577","145","45.6","2.2"
"2016","12498","Manual","54544","20","72.4","1.5"
"2019","46998","Semi-Auto","1042","145","52.3","3.0"
"2019","33998","Semi-Auto","1558","145","44.1","1.5"
"2019","32998","Semi-Auto","2258","145","46.3","1.5"
"2019","30498","Semi-Auto","4977","145","57.7","2.0"
"2015","19298","Semi-Auto","35866","160","49.6","3.0"
"2018","17498","Semi-Auto","15316","145","49.6","1.6"
"2016","21498","Semi-Auto","21253","200","43.5","2.0"
"2016","19498","Semi-Auto","23791","125","56.5","2.1"
"2017","18998","Semi-Auto","26866","30","64.2","2.1"
"2017","18498","Semi-Auto","15478","145","53.3","1.6"
"2019","40998","Semi-Auto","1255","145","49.6","2.0"
